V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,label
4.2113996,-2.5694296,0.2889442,1.2932786,-0.7629097,0.20338938,-3.1062093,-2.0982735,0.7556105,0.07554469,0.035605982,-0.26956275,0.4934143,-0.46514165,-1.1909535,0.13468544,0.2048212,0.1950789,0
2.8677816,2.6523542,-1.4801857,-2.1725588,0.023661263,-0.23763734,-1.2738605,-2.195171,0.9529983,0.50715894,-0.23902528,-0.35691306,0.4869362,-0.7888442,-0.3965376,-0.21125731,-0.020565279,0.4891891,0
0.14690319,2.3845232,-2.808639,-2.3826826,-0.9408251,0.622612,-0.5270566,-2.5854251,-0.95578384,0.12964174,0.6407755,-0.8154099,-0.1972439,-1.1922514,-0.6444982,1.2054743,0.10255249,-1.273646,0
1.0394973,-2.321618,1.591403,-1.4407408,-0.9764041,2.4621735,-0.8853732,-0.84859663,-0.05808972,-0.46126515,0.18797193,0.64654696,0.38434935,-0.4568854,-0.81062037,-0.19453563,0.62938523,0.27476668,0
1.071363,-4.061372,2.634802,-0.9902923,-1.4794617,2.4239614,-0.69833916,-1.1677767,-0.2520731,0.5893713,0.8355267,-0.7521999,1.258788,0.3594773,-0.6332689,0.08821004,0.24793735,-0.2744489,0
4.249521,-7.3755007,0.38875332,0.4369872,1.0606886,0.71363413,-1.4151311,-1.791334,1.9647014,-0.18220282,-2.2943966,0.50817776,2.2962804,1.0425668,-0.18481788,0.94111466,-0.29588762,0.2509814,0
2.3283172,-3.2452717,6.4977016,-0.45039928,-2.3034961,2.6867883,0.5045124,-1.0039551,1.4330318,3.1832645,-1.2714196,-0.32457995,0.021762596,-0.1851585,0.98412347,0.51849395,-0.41461354,-0.27531183,0
-0.06934178,-4.270813,-1.1302098,-1.6990079,1.799638,2.5181606,-1.9918964,-0.16798548,0.8247015,0.85318804,0.18894455,0.106851384,0.66682297,0.22505535,-0.27097017,0.9776926,-0.56937134,-0.3288522,0
0.49565977,-3.2690084,-1.1680149,-1.7079552,1.0113301,0.14740975,0.23259814,-0.4339471,-1.4020379,-0.16004993,-1.2746562,0.1880073,0.46863973,-2.0848155,-0.47316945,0.28346786,-0.23687784,-0.34542027,0
2.4080195,-1.3209958,-0.58514816,-3.387854,1.5731742,0.6689498,-0.64888024,-1.3716228,0.6110465,-0.24512562,0.10698088,-0.42067534,0.17418656,-0.03119526,0.009691087,-0.26216343,0.30896577,1.078625,0
-2.254927,-3.289315,2.2059672,-2.9797986,-5.60376,1.9895009,-0.184291,-0.5105664,0.42254072,-2.0008006,-1.0368644,0.7628036,1.4720131,0.16532464,-0.42855904,-0.8094588,0.4843018,0.017004086,0
1.2802678,-3.3649304,2.3927066,-2.9636164,0.036981575,1.508156,-0.9642109,-2.9440482,0.88607424,1.919781,-1.8767341,-0.71838593,1.4112236,-0.14229482,-0.30963868,-0.5617392,-0.031928137,0.4874585,0
-2.0330925,-1.5980706,1.3141968,-1.3089596,-0.5833582,1.9706345,-0.03282107,-1.1764759,0.060390256,-2.5274117,-0.47123447,-1.0900246,-1.134293,-0.46124664,-0.8731993,0.21578884,-0.16057374,0.6869015,0
3.8890064,-1.5516119,-0.03144881,-1.3289272,-0.097986564,0.17407663,-3.5955617,-0.17152989,-0.53582543,1.2933161,-0.45591518,-1.3088154,1.1089809,-0.09765395,0.16344155,-0.2139225,0.11082814,0.56432354,0
3.116568,-1.7288916,3.0486307,-2.0154989,2.2492983,1.7050979,-1.1876246,-1.041082,-1.1604482,0.054013662,0.19640669,-0.19153747,0.5837559,0.28865713,-0.32711458,-0.16590066,0.1195453,-0.3711917,0
0.41063964,-4.352923,1.0724947,-4.032243,2.5362718,-0.57865125,3.2838736,-3.9153855,0.7010255,2.1941872,-0.5010528,0.33015257,-0.97838,-1.221288,0.948293,0.5520762,0.09213993,-1.3210883,0
2.101918,-3.1652863,2.932353,-1.0482471,-0.7621035,1.1005732,-1.448569,-0.09139339,-0.9865993,-0.15620591,0.42991558,-0.20723782,-0.034871433,0.4446783,-0.07800154,0.12054907,-0.29872397,-0.09627215,0
0.072289966,-3.8262486,2.7981277,-0.47617596,1.7490141,0.16700168,-0.42753404,-1.8235738,-0.6963135,-0.1562493,-1.3569244,0.44113025,-0.03083632,0.012296318,0.05242777,-0.11105222,-0.30088675,0.78692615,0
2.4783995,-0.013575811,3.3713872,-2.1194944,-4.054295,-1.5631297,3.1524107,-0.20497642,-0.24220788,1.846257,-1.9395305,0.4735096,-1.6459002,-1.4658294,0.65263164,-0.19994885,1.0877647,-0.7013844,0
