V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,label
4.682467,-2.2831852,1.1480284,1.6021007,3.3855298,-2.9640677,1.8817642,-2.1750994,1.6550623,0.32491857,0.110251494,0.33854145,-2.571882,0.8779947,0.7227942,-0.13623852,-0.15246822,0.2264288,0
6.6913385,0.65809953,4.2839065,3.9067113,3.8333228,-1.9024708,-1.0639076,-2.3638504,-0.39523044,-0.37618718,-0.50286674,-0.8078887,-0.35923657,-0.27953124,-0.50426036,-0.088330686,-0.9604183,-0.29934418,0
5.5686846,-1.7304922,3.5539882,2.5832565,3.6810284,-1.7163169,0.7647667,-2.8504813,-0.25312215,-0.5147451,-0.19637908,-0.89602447,-0.16895816,-0.24486005,0.31208357,-0.18441781,-0.48644248,-0.42886418,0
2.571932,-5.044521,-3.701163,2.247573,4.045037,-1.9563673,-1.8607914,-2.917709,3.4275584,2.2899094,-0.02861129,-0.5900171,-1.5604868,0.059247967,1.2961563,-0.89456815,0.2705273,-0.71379286,0
2.6518126,-5.0421114,-0.98368275,1.9818839,2.3651352,-1.9598652,-2.0754197,-3.7962234,0.78948545,1.9652654,0.5554781,0.8472771,-0.88609093,0.23925222,-0.41436565,-0.29466224,-0.13598508,-0.080828324,0
1.6376189,-0.49675328,-2.3205278,-1.2245815,-0.7396258,-1.1292398,-0.92598385,-1.4744182,0.06387389,0.12205869,-1.1872892,-0.85544074,0.75035036,-0.83001703,0.055842064,-0.24795443,-0.6039612,-0.013189155,0
-1.2608932,-2.4224474,0.9159363,-4.842006,1.0626707,0.8841454,2.0226076,1.1884123,0.71934175,-0.90702945,-0.5683143,0.630428,0.4036872,0.57448894,1.4334451,0.62478167,1.0752631,0.31349698,0
-0.06431094,4.043858,-1.2063806,-1.0974728,-1.1764079,3.0303745,-2.4061136,-2.0054996,0.5886202,-0.17904909,-1.3240744,-0.26989,0.6172921,-0.75260115,-0.054152638,-0.3822331,0.35908917,0.7086987,0
5.495049,4.013585,-0.31855592,3.74809,-1.6741458,0.9608522,0.934692,-2.3482206,-1.7791698,-0.30950475,-2.7654893,0.2973778,1.0797236,0.8864228,-0.55210537,0.2815216,-0.4662989,-0.9328049,0
0.17494307,3.3512733,1.517368,-1.8179297,-4.0072746,2.9993622,-0.9325226,-1.1310836,1.5769217,-0.93490016,0.62522537,-0.7239104,-0.4115259,-1.004801,-0.08120028,-0.035001386,0.44262013,-0.6605405,0
3.1079156,-2.620207,-1.5784746,-1.8763603,0.1275705,0.33087,-0.9487857,-2.1924193,-0.99163646,-0.6507074,-0.2987075,-0.3081727,0.4236432,-1.0347807,-0.5052028,0.036381904,0.29263744,-0.17096063,0
1.161248,2.2076418,2.579834,-2.456593,-2.1476114,2.3618212,-0.19687,-0.5086399,-0.2787356,-0.75912637,-1.6241663,-0.054516446,0.4252582,-0.10493481,0.18458395,0.25514624,0.56951123,0.46141267,0
2.953084,1.2162597,-1.1977713,-4.00446,-2.9228396,-1.0124955,-3.0144083,0.21926366,-0.639662,-0.72061557,0.19096933,1.6793866,0.5820577,0.23266867,0.24369912,0.17037006,-0.10804879,0.093134046,0
0.41163194,3.146038,2.1667252,-0.9855269,1.8443259,1.1966715,-3.2479105,-0.9977318,0.41632593,-1.1302993,-0.7759583,-0.3056022,-0.384827,-0.73583955,0.26724583,-0.8146323,-0.18316542,-0.5625103,0
4.2019763,2.758452,0.3678924,1.4599161,0.44752923,0.58216053,-2.7705014,-2.0475836,-0.96037406,-0.21993712,-0.2209401,0.04965305,0.121899135,-0.23347704,-0.9962844,-0.25309047,-0.33458716,0.27333918,0
3.1079156,-2.620207,-1.5784746,-1.8763603,0.1275705,0.33087,-0.9487857,-2.1924193,-0.99163646,-0.6507074,-0.2987075,-0.3081727,0.4236432,-1.0347807,-0.5052028,0.036381904,0.29263744,-0.17096063,0
0.29500386,-2.4033108,-2.748988,-1.6959324,1.05182,0.97201544,-0.61843866,-2.8378305,0.9568152,0.0008051319,0.24333681,-0.528553,-0.18313918,-1.1590158,-0.6421663,-1.0496855,-0.22695069,0.8398741,0
0.9991183,2.390603,1.6997705,-1.2270019,1.1565778,2.4311132,-0.6174058,-0.89016944,-0.1038983,0.34639457,0.053317294,0.66797006,0.3172192,-0.2887451,-0.7345913,-0.013028351,0.4688149,0.19843325,0
0.8154543,4.166038,2.8325675,-0.7094466,1.6224343,2.051197,-0.5898226,-1.1346598,0.26915172,-0.49567097,0.68639314,-1.0892897,1.074299,0.30714658,-0.7177654,-0.13693006,-0.042438183,0.4852944,0
4.027365,7.289368,0.13591067,0.5009419,-1.1464171,0.56402105,-1.0923464,-1.7445225,-2.2607436,0.07561909,-1.8635395,0.18167315,2.5338893,0.92108226,0.097516015,-0.9054157,-0.7035373,-0.14227173,0
1.8141174,3.604069,6.7626514,-0.6917805,2.272307,1.9582804,0.8967611,-1.074754,-0.5437188,-3.0675216,-1.2588854,-0.48004803,0.15932742,-0.10183992,1.3807174,-0.7740266,-1.1299759,0.49005944,0
-0.25865385,4.1843686,-1.100504,-1.4412713,-1.7848356,2.8308985,-1.4979669,-0.35845613,-0.77605253,-0.8367865,0.37642565,-0.025292939,0.732646,0.25451824,-0.20293106,-0.87614864,-0.75184673,-0.06310287,0
0.36154768,3.3167543,-1.2491312,-1.5124424,-1.0084894,0.47498688,0.1405836,-0.5482767,1.2835678,0.58905864,-1.4204051,0.13809793,0.52124107,-1.950437,-0.38318554,-0.53043836,-0.5908506,0.6601893,0
